id,category,description,location,riskLevel
2592,sanitation,"Minor bad odor from washroom floor drain, needs disinfectant. please send someone to check as soon as possible.",Main Auditorium Hall B,low
1097,electrical,study lamp switch is a bit loose and sometimes requires multiple clicks to turn on. Reported this earlier today.,Hostel C Staircase,low
1912,fire_safety,fire safety instruction poster in corridor is torn and needs replacement,Hostel D Server Rack Room,low
1980,fire_safety,fire bucket sand level is low in ground floor station,Hostel A Floor 2 Washroom,low
1343,plumbing,shower head has slightly low water pressure in room washroom,Hostel C Wing West Common Area,low
3236,other,elevator getting stuck between floors 2 and 3 intermittently,Main Auditorium Hall B,medium
2821,security,id card scanner at turnstile takes 2 attempts to read card. Happening since last night.,Hostel F Room 118,low
1347,plumbing,faucet in 3rd floor bathroom needs washer replacement due to slight leak,Library 2nd Floor Reading Hall,low
3368,other,Gas cylinder valve leaking rapidly with loud hissing in cafeteria kitchen,Hostel D Terrace Access,high
3365,other,toxic fume release from basement laboratory drifting into student dorms. Very concerning situation.,Hostel C Basement Study Room,high
1290,electrical,"smoke billowing from electrical duct on third floor, emergency isolation needed",Hostel D Server Rack Room,high
1920,fire_safety,Emergency exit sign light bulb on floor 1 appears dim. needs urgent inspection.,Hostel A Ground Floor Lobby,low
2579,sanitation,"minor bad odor from washroom floor drain, needs disinfectant. Needs urgent inspection.",Hostel D Terrace Access,low
3134,other,lost water bottle left behind in common room lounge. Students are worried about safety.,Hostel E Water Tank Area,low
1625,network,intermittent ping spikes while playing online educational tutorials. Please send someone to check as soon as possible.,Hostel B Main Electrical Room,low
3079,security,hostel perimeter gate breached by hostile mob or unauthorized group,Central Canteen Kitchen Area,high
1731,network,"entire wing unable to connect to campus wifi, obtaining IP address error",Hostel E Water Tank Area,medium
2740,sanitation,severe biological hazard with toxic sewage backing up into all ground floor washrooms,Academic Block 1 Room 101,high
2149,fire_safety,"strong gas leak detected near mess kitchen cylinder bank, hissing sound and heavy smell. Please resolve this quickly.",Hostel D Server Rack Room,high
2396,structural,false ceiling panel sagging downward in common study room,Central Canteen Kitchen Area,medium
2762,sanitation,Burst main septic chamber overflowing across hostel perimeter. kindly update ticket status once inspected.,Academic Block 1 Room 101,high
1177,electrical,Power socket feels warm to the touch after using for an hour. very concerning situation.,Hostel B Corridor 3rd Floor,medium
2338,structural,False ceiling panel sagging downward in common study room. please resolve this quickly.,Hostel C Room 305,medium
2389,structural,deep diagonal crack appearing along corridor wall growing over last 2 weeks,Hostel F Room 118,medium
1352,plumbing,"tap slowly dripping in bathroom sink, bucket placed underneath. Very concerning situation.",Hostel B Balcony,low
2929,security,Emergency security phone box on campus pathway broken and unresponsive,Hostel D Server Rack Room,medium
1462,plumbing,washroom drain blocked with accumulated debris causing ankle-deep puddle. Needs urgent inspection.,Hostel F Room 118,medium
2682,sanitation,cockroach and pest infestation noticed in pantry cabinets and floor washroom,Hostel C Room 305,medium
2789,sanitation,fecal matter and sewage overflow flooding hallway and entering student living areas. Affecting multiple students.,Hostel A Ground Floor Lobby,high
2940,security,electronic biometric access door stuck in open position allowing anyone entry,Hostel C Basement Study Room,medium
3121,other,Lost student id card found in library and placed at reception,Hostel A Dining Hall,low
1965,fire_safety,emergency evacuation map near lift lobby is faded,Hostel D Terrace Access,low
1983,fire_safety,fire safety instruction poster in corridor is torn and needs replacement,Hostel C Staircase,low
3296,other,Severe noise disruption from unauthorized party in room late at night. students are worried about safety.,Hostel A Dining Hall,medium
2792,sanitation,"uncontrolled pest and pathogen outbreak in dining hall kitchen, critical health risk. Kindly update ticket status once inspected.",Hostel A Floor 2 Washroom,high
3132,other,suggestion box key misplaced by hostel committee,Library 2nd Floor Reading Hall,low
2371,structural,large chunks of plaster fell from ceiling onto study table while room was empty,Hostel D Cafeteria,medium
2042,fire_safety,fire extinguisher missing from its designated wall bracket on floor 3. Please send someone to check as soon as possible.,Hostel E Room 501,medium
1595,plumbing,severe structural flooding threatening server room on ground floor,Hostel A Ground Floor Lobby,high
2783,sanitation,massive black toxic mold infestation causing breathing difficulties for entire wing,Academic Block 1 Room 101,high
1394,plumbing,slow drip from flush tank valve into the commode,Hostel B Corridor 3rd Floor,low
2949,security,Emergency security phone box on campus pathway broken and unresponsive,Hostel C Wing West Common Area,medium
2612,sanitation,blocked urinal overflowing dirty water onto restroom floor. Happening since last night.,Hostel F Room 118,medium
2010,fire_safety,emergency exit door jammed shut and cannot be pushed open from inside,Hostel C Room 305,medium
2091,fire_safety,emergency exit staircase blocked by discarded furniture and old mattresses,Academic Block 1 Room 101,medium
1714,network,"core floor switch unresponsive, student exams affected. Happening since last night.",Academic Block 1 Room 101,medium
1723,network,"Wifi access point on 2nd floor completely dead, no ssid broadcasting. students are worried about safety.",Hostel A Floor 2 Washroom,medium
3137,other,campus bus schedule poster is outdated and needs update,Hostel B Balcony,low
2479,structural,corridor floor slab sagging and separating from main wall joint,Hostel D Terrace Access,high
2582,sanitation,"minor bad odor from washroom floor drain, needs disinfectant",Hostel A Floor 2 Washroom,low
3119,other,Campus bus schedule poster is outdated and needs update,Hostel D Room 412,low
1949,fire_safety,dust accumulated on corridor smoke sensor casing,Hostel A Dining Hall,low
2526,sanitation,stray leaves accumulated outside hostel entrance doorway,Hostel C Wing West Common Area,low
1728,network,hostel router rebooting constantly every 10 minutes disrupting classes,Hostel A Floor 2 Washroom,medium
1986,fire_safety,emergency exit sign light bulb on floor 1 appears dim,Hostel F Room 118,low
2968,security,ground floor window security grill loose and screws removed. Please resolve this quickly.,Hostel B Main Electrical Room,medium
2902,security,ground floor window security grill loose and screws removed,Hostel E Room 501,medium
1058,electrical,Study lamp switch is a bit loose and sometimes requires multiple clicks to turn on. please send someone to check as soon as possible.,Hostel B Room 214,low
2194,fire_safety,"Active building fire with heavy smoke, emergency evacuation underway. reported this earlier today.",Hostel B Corridor 3rd Floor,high
3127,other,notice board glass in lobby has finger smudges,Hostel A Room 102,low
3061,security,Hostel perimeter gate breached by hostile mob or unauthorized group. affecting multiple students.,Hostel A Ground Floor Lobby,high
2522,sanitation,dust accumulated on common room window ledges,Hostel D Server Rack Room,low
1810,network,"complete blackout of all communication channels, internet and VoIP down campus-wide",Hostel D Server Rack Room,high
3310,other,"Critical medical crisis: student injured with heavy bleeding, urgent first aid needed. needs urgent inspection.",Library 2nd Floor Reading Hall,high
1070,electrical,Exhaust fan switch in bathroom is stiff and makes a slight click sound,Hostel E Room 501,low
1451,plumbing,washroom drain blocked with accumulated debris causing ankle-deep puddle. Very concerning situation.,Hostel C Staircase,medium
2745,sanitation,"toxic sewer gas backup filling residential wing, multiple students feeling nauseous",Hostel A Floor 2 Washroom,high
2485,structural,building foundation wall cracked with noticeable tilt in hostel wing B,Central Canteen Kitchen Area,high
3243,other,elevator getting stuck between floors 2 and 3 intermittently,Hostel C Staircase,medium
1331,plumbing,washbasin drain is draining slowly after brushing teeth,Hostel C Basement Study Room,low
2757,sanitation,burst main septic chamber overflowing across hostel perimeter. Please send someone to check as soon as possible.,Hostel D Terrace Access,high
1651,network,guest wifi login portal page takes long time to load,Hostel E Water Tank Area,low
2005,fire_safety,emergency exit door jammed shut and cannot be pushed open from inside. Reported this earlier today.,Hostel A Floor 2 Washroom,medium
1579,plumbing,Burst main water pipe flooding corridor and seeping into student rooms. reported this earlier today.,Hostel C Staircase,high
2187,fire_safety,"active fire detected in 2nd floor pantry, flames spreading to wooden cabinets. Affecting multiple students.",Hostel B Main Electrical Room,high
1594,plumbing,flooding in basement electrical substation from burst storm drain pipe. Please send someone to check as soon as possible.,Hostel A Ground Floor Lobby,high
1578,plumbing,"strong LPG gas smell accompanied by water leakage in mess kitchen area, immediate danger. Reported this earlier today.",Library 2nd Floor Reading Hall,high
2185,fire_safety,"smoke alarm activated, smoke pouring out from closed room 412, occupants trapped. Please send someone to check as soon as possible.",Hostel B Corridor 3rd Floor,high
1506,plumbing,massive water flood on 3rd floor reaching electrical sockets and elevators,Academic Block 1 Room 101,high
1644,network,Intermittent ping spikes while playing online educational tutorials,Library 2nd Floor Reading Hall,low
1182,electrical,corridor lights went dark due to tripped MCB on floor 3,Hostel C Wing West Common Area,medium
1078,electrical,fluorescent tube in bathroom takes a few seconds to light up,Hostel D Cafeteria,low
2110,fire_safety,"smoke alarm activated, smoke pouring out from closed room 412, occupants trapped",Hostel E Water Tank Area,high
2848,security,security mirror at staircase corner is slightly tilted,Hostel C Basement Study Room,low
2919,security,unauthorized trespasser seen wandering hostel corridors without visitor badge. Affecting multiple students.,Hostel B Balcony,medium
2658,sanitation,stagnant water pool near water purifier breeding mosquitoes. Happening since last night.,Hostel E Water Tank Area,medium
3305,other,"deadly venomous snake sighted inside student room under bed, urgent wildlife rescue. Please send someone to check as soon as possible.",Hostel C Basement Study Room,high
3226,other,honeybee or wasp nest building up under 3rd floor window ledge,Hostel A Dining Hall,medium
2868,security,corridor security camera dome cover is dusty,Hostel C Wing West Common Area,low
2321,structural,deep diagonal crack appearing along corridor wall growing over last 2 weeks,Hostel C Basement Study Room,medium
3219,other,loud screeching noise from ventilation shaft disrupting sleep. Very concerning situation.,Hostel D Cafeteria,medium
3353,other,Toxic fume release from basement laboratory drifting into student dorms,Hostel A Floor 2 Washroom,high
3369,other,gas cylinder valve leaking rapidly with loud hissing in cafeteria kitchen,Hostel D Terrace Access,high
2554,sanitation,dust accumulated on common room window ledges. Please resolve this quickly.,Hostel D Server Rack Room,low
2038,fire_safety,Fire exit route obstructed by heavy storage boxes,Hostel A Ground Floor Lobby,medium
2826,security,Bicycle rack outside hostel has one loose bolt on stand,Hostel C Room 305,low
2150,fire_safety,explosion sound followed by fire in chemical storage room near lab. Reported this earlier today.,Hostel D Server Rack Room,high
2536,sanitation,housekeeping missed morning sweeping in wing C corridor,Hostel E Room 501,low
1804,network,campus-wide network and core firewall crash during online placement exams. Kindly update ticket status once inspected.,Hostel C Staircase,high
1843,network,network core failure disabling campus biometric security gates and CCTV stream. Please send someone to check as soon as possible.,Library 2nd Floor Reading Hall,high
2585,sanitation,soap dispenser empty in common washroom. Kindly update ticket status once inspected.,Hostel C Wing West Common Area,low
2987,security,electronic biometric access door stuck in open position allowing anyone entry. Kindly update ticket status once inspected.,Main Auditorium Hall B,medium
1173,electrical,"exhaust fan in floor bathroom stopped working completely, burning smell noticed initially",Hostel A Floor 2 Washroom,medium
1342,plumbing,washbasin drain is draining slowly after brushing teeth. Reported this earlier today.,Hostel D Server Rack Room,low
3225,other,loud screeching noise from ventilation shaft disrupting sleep,Hostel B Room 214,medium
1854,network,campus-wide network and core firewall crash during online placement exams,Main Auditorium Hall B,high
1318,plumbing,Washbasin drain is draining slowly after brushing teeth. very concerning situation.,Central Canteen Kitchen Area,low
2853,security,corridor security camera dome cover is dusty,Hostel C Wing West Common Area,low
2144,fire_safety,"active building fire with heavy smoke, emergency evacuation underway",Hostel D Server Rack Room,high
2386,structural,"balcony safety railing is loose and wobbles when pushed, dangerous for students",Hostel F Room 118,medium
2330,structural,heavy water seepage causing wall to bulge and paint to peel severely. Students are worried about safety.,Hostel C Staircase,medium
1604,network,periodic minor disconnects during late night hours,Hostel A Room 102,low
3141,other,notice board glass in lobby has finger smudges,Hostel A Dining Hall,low
3151,other,Clock in study room is running 15 minutes slow. needs urgent inspection.,Hostel C Basement Study Room,low
3384,other,major structural ceiling collapse and fire emergency in main hall. Kindly update ticket status once inspected.,Central Canteen Kitchen Area,high
3190,other,clock in study room is running 15 minutes slow,Hostel E Water Tank Area,low
2970,security,electronic biometric access door stuck in open position allowing anyone entry,Hostel C Basement Study Room,medium
2464,structural,major structural pillar in basement shows wide cracks and exposed rebar buckling,Hostel C Basement Study Room,high
2264,structural,wardrobe door hinge is squeaking and slightly misaligned,Hostel B Main Electrical Room,low
2151,fire_safety,"thick black smoke filling hostel 3rd floor corridor, alarms blaring, evacuation needed",Hostel A Room 102,high
1820,network,network core failure disabling campus biometric security gates and CCTV stream. Reported this earlier today.,Hostel B Main Electrical Room,high
2565,sanitation,dust accumulated on common room window ledges,Hostel B Room 214,low
2823,security,door peephole on room door is scratched and foggy. Please resolve this quickly.,Hostel C Staircase,low
1022,electrical,Room switchboard has a slightly loose switch for the fan. noticeable smell and noise.,Hostel E Room 501,low
3183,other,clock in study room is running 15 minutes slow,Hostel C Basement Study Room,low
3370,other,"critical medical crisis: student injured with heavy bleeding, urgent first aid needed",Academic Block 1 Room 101,high
1856,network,"data center core switch overheating and shutdown, all emergency lines down",Hostel C Room 305,high
1428,plumbing,"no running water on entire 2nd floor since morning, tanks appear empty",Hostel B Balcony,medium
3293,other,stray dog entered hostel corridor and growling at students passing by. Noticeable smell and noise.,Hostel E Water Tank Area,medium
2576,sanitation,cobwebs gathered in corner of ceiling in hallway,Main Auditorium Hall B,low
1415,plumbing,drain pipe clogged and water backing up into bathroom stall,Hostel B Main Electrical Room,medium
2779,sanitation,"toxic sewer gas backup filling residential wing, multiple students feeling nauseous",Central Canteen Kitchen Area,high
3287,other,broken glass bottles scattered across basketball court walkway,Hostel D Cafeteria,medium
2178,fire_safety,"flames visible from waste disposal chute on ground floor, spreading fast. Very concerning situation.",Hostel D Cafeteria,high
3159,other,room curtain rod bracket is slightly bent,Hostel D Room 412,low
3031,security,"shots or explosive sounds heard near perimeter fence, lockdown initiated",Hostel B Room 214,high
1471,plumbing,Foul smelling dirty water coming out from tap in hostel wing. affecting multiple students.,Hostel A Dining Hall,medium
2651,sanitation,sewage smell rising from multiple bathroom drains on 2nd floor. Affecting multiple students.,Hostel C Staircase,medium
2820,security,Visitor sign-in book at security desk is full and needs replacement. needs urgent inspection.,Hostel B Corridor 3rd Floor,low
2055,fire_safety,corridor fire alarm strobe light not activating during system test. Noticeable smell and noise.,Hostel D Cafeteria,medium
2081,fire_safety,fire extinguisher missing from its designated wall bracket on floor 3,Academic Block 1 Room 101,medium
2646,sanitation,waste disposal bin broken and spilling contaminated waste into corridor,Hostel C Wing West Common Area,medium
2218,structural,Wooden study desk drawer sticks when opening,Hostel E Water Tank Area,low
1908,fire_safety,Dust accumulated on corridor smoke sensor casing,Hostel D Server Rack Room,low
1685,network,speed test shows 5 Mbps instead of usual 50 Mbps in our room,Gymnasium Locker Room,low
2074,fire_safety,hydrant valve leaking water into the emergency staircase landing. Affecting multiple students.,Hostel E Water Tank Area,medium
2170,fire_safety,"smoke alarm activated, smoke pouring out from closed room 412, occupants trapped",Hostel A Room 102,high
2121,fire_safety,"strong gas leak detected near mess kitchen cylinder bank, hissing sound and heavy smell",Hostel A Dining Hall,high
3040,security,hostel perimeter gate breached by hostile mob or unauthorized group,Hostel E Water Tank Area,high
1546,plumbing,"main supply line cracked wide open, stairs transformed into water cascade. Kindly update ticket status once inspected.",Hostel C Room 305,high
2148,fire_safety,"smoke alarm activated, smoke pouring out from closed room 412, occupants trapped",Hostel D Terrace Access,high
1133,electrical,"exhaust fan in floor bathroom stopped working completely, burning smell noticed initially",Hostel F Room 118,medium
1180,electrical,corridor lights went dark due to tripped MCB on floor 3,Hostel D Terrace Access,medium
1802,network,"complete blackout of all communication channels, internet and VoIP down campus-wide",Hostel B Main Electrical Room,high
2232,structural,balcony door handle is slightly loose when turning,Hostel F Room 118,low
1510,plumbing,"uncontrolled high pressure water gushing from main riser pipe, rooms submerged. Please resolve this quickly.",Hostel A Room 102,high
3275,other,severe noise disruption from unauthorized party in room late at night,Hostel C Wing West Common Area,medium
2399,structural,bathroom door frame rotten at base and detaching from wall,Hostel E Water Tank Area,medium
2657,sanitation,severe rodent problem in ground floor storage room chewing cables. Please resolve this quickly.,Hostel D Server Rack Room,medium
2439,structural,major structural pillar in basement shows wide cracks and exposed rebar buckling,Library 2nd Floor Reading Hall,high
3349,other,severe chemical spill in corridor causing eye irritation and breathing distress. Needs urgent inspection.,Hostel A Floor 2 Washroom,high
2049,fire_safety,strong burning paper or wood smell in courtyard with smoke source unknown. Very concerning situation.,Library 2nd Floor Reading Hall,medium
2617,sanitation,waste disposal bin broken and spilling contaminated waste into corridor. Needs urgent inspection.,Hostel B Corridor 3rd Floor,medium
2002,fire_safety,corridor fire alarm strobe light not activating during system test. Needs urgent inspection.,Main Auditorium Hall B,medium
1210,electrical,Severe electrical burn smell and active sparks from air conditioner unit,Hostel A Ground Floor Lobby,high
1008,electrical,Ceiling tube light flickers intermittently when switched on in the evening. very concerning situation.,Hostel C Basement Study Room,low
2996,security,security CCTV camera on 2nd floor corridor is offline with black screen,Hostel B Room 214,medium
2207,structural,room door needs a stopper installed to prevent banging,Hostel D Cafeteria,low
1405,plumbing,"water pipe under sink leaking steady stream, water pooling on floor",Central Canteen Kitchen Area,medium
2623,sanitation,blocked urinal overflowing dirty water onto restroom floor,Hostel B Main Electrical Room,medium
1047,electrical,power outlet feels a little loose when plugging in laptop charger,Library 2nd Floor Reading Hall,low
2888,security,Bicycle rack outside hostel has one loose bolt on stand,Central Canteen Kitchen Area,low
2053,fire_safety,hydrant valve leaking water into the emergency staircase landing,Library 2nd Floor Reading Hall,medium
1540,plumbing,"strong LPG gas smell accompanied by water leakage in mess kitchen area, immediate danger. Reported this earlier today.",Academic Block 1 Room 101,high
2052,fire_safety,fire extinguisher missing from its designated wall bracket on floor 3,Hostel E Water Tank Area,medium
3228,other,severe noise disruption from unauthorized party in room late at night,Hostel D Room 412,medium
3075,security,"hostel main entry doors breached, intruder threatening occupants",Hostel B Room 214,high
1695,network,guest wifi login portal page takes long time to load,Hostel F Room 118,low
3214,other,elevator getting stuck between floors 2 and 3 intermittently. Students are worried about safety.,Hostel A Room 102,medium
1114,electrical,sparking sound heard when inserting 3-pin laptop adapter into wall socket,Hostel C Room 305,medium
1950,fire_safety,fire bucket sand level is low in ground floor station,Hostel C Basement Study Room,low
1354,plumbing,water tap in washroom leaks a few drops every minute,Hostel E Water Tank Area,low
1117,electrical,fan regulator is overheating and burning odor coming from switchboard,Hostel F Room 118,medium
2667,sanitation,stagnant water pool near water purifier breeding mosquitoes,Hostel A Dining Hall,medium
1774,network,"core floor switch unresponsive, student exams affected. Noticeable smell and noise.",Central Canteen Kitchen Area,medium
1838,network,Primary fiber optic uplink cable severed during construction outside hostel. kindly update ticket status once inspected.,Academic Block 1 Room 101,high
1858,network,Network core failure disabling campus biometric security gates and cctv stream. kindly update ticket status once inspected.,Hostel E Water Tank Area,high
2977,security,emergency security phone box on campus pathway broken and unresponsive,Hostel B Corridor 3rd Floor,medium
1453,plumbing,water supply completely cut off to floor 4 bathrooms for 6 hours,Hostel B Main Electrical Room,medium
1622,network,Ethernet port in room has a loose latch but connection works. very concerning situation.,Academic Block 1 Room 101,low
2641,sanitation,waste disposal bin broken and spilling contaminated waste into corridor,Hostel B Corridor 3rd Floor,medium
2890,security,door peephole on room door is scratched and foggy,Hostel D Cafeteria,low
2997,security,"theft reported from unattended room on floor 3, laptop and wallet stolen. Kindly update ticket status once inspected.",Hostel C Basement Study Room,medium
2959,security,emergency security phone box on campus pathway broken and unresponsive,Hostel E Water Tank Area,medium
3139,other,suggestion box key misplaced by hostel committee,Hostel B Main Electrical Room,low
1084,electrical,room switchboard has a slightly loose switch for the fan,Hostel C Room 305,low
1691,network,DNS lookup seems slightly delayed on hostel subnet. Students are worried about safety.,Academic Block 1 Room 101,low
2875,security,visitor sign-in book at security desk is full and needs replacement. Please resolve this quickly.,Hostel A Dining Hall,low
2459,structural,corridor floor slab sagging and separating from main wall joint,Academic Block 1 Room 101,high
3254,other,honeybee or wasp nest building up under 3rd floor window ledge. Please send someone to check as soon as possible.,Central Canteen Kitchen Area,medium
2562,sanitation,dustbin in common corridor is full and needs daily emptying,Hostel D Cafeteria,low
1160,electrical,"exhaust fan in floor bathroom stopped working completely, burning smell noticed initially. Happening since last night.",Hostel C Staircase,medium
1054,electrical,Exhaust fan switch in bathroom is stiff and makes a slight click sound,Hostel B Corridor 3rd Floor,low
3224,other,Broken glass bottles scattered across basketball court walkway. very concerning situation.,Hostel A Ground Floor Lobby,medium
3089,security,"Shots or explosive sounds heard near perimeter fence, lockdown initiated. needs urgent inspection.",Hostel C Staircase,high
2891,security,room door key is slightly sticky in the lock cylinder,Hostel F Room 118,low
2083,fire_safety,fire alarm panel beeping continuously with yellow fault warning light. Happening since last night.,Hostel A Room 102,medium
1972,fire_safety,dust accumulated on corridor smoke sensor casing. Reported this earlier today.,Hostel D Cafeteria,low
2238,structural,small hairline crack on bedroom plaster near the window sill. Please send someone to check as soon as possible.,Hostel E Room 501,low
2315,structural,staircase concrete step cracked in half and unstable under foot traffic. Very concerning situation.,Hostel D Cafeteria,medium
3085,security,"armed intruder or violent trespasser reported inside hostel block, lockdown needed. Students are worried about safety.",Hostel B Room 214,high
3170,other,clock in study room is running 15 minutes slow,Hostel C Wing West Common Area,low
1350,plumbing,sink drain strainer missing causing slow water flow,Hostel B Main Electrical Room,low
3024,security,"Violent altercation with weapons reported in common room, students in danger. reported this earlier today.",Library 2nd Floor Reading Hall,high
1430,plumbing,hot water geyser not heating and leaking water from bottom connection,Hostel C Basement Study Room,medium
1386,plumbing,sink drain strainer missing causing slow water flow. Reported this earlier today.,Hostel D Server Rack Room,low
2096,fire_safety,smoke detector in corridor sounding false alarms intermittently,Central Canteen Kitchen Area,medium
3308,other,"passenger elevator cable snapped and safety brake engaged, 4 students trapped inside in darkness. Reported this earlier today.",Hostel A Ground Floor Lobby,high
1765,network,"wifi access point on 2nd floor completely dead, no SSID broadcasting",Hostel B Corridor 3rd Floor,medium
1928,fire_safety,Hose reel cabinet door latch is stiff to open. noticeable smell and noise.,Hostel F Room 118,low
1998,fire_safety,dust accumulated on corridor smoke sensor casing. Needs urgent inspection.,Hostel D Room 412,low
2556,sanitation,Soap dispenser empty in common washroom,Hostel F Room 118,low
2072,fire_safety,strong burning paper or wood smell in courtyard with smoke source unknown,Hostel B Corridor 3rd Floor,medium
2416,structural,corridor floor slab sagging and separating from main wall joint,Hostel B Room 214,high
1072,electrical,"Wall plug in room works but looks slightly worn out, please inspect when free",Hostel D Terrace Access,low
1411,plumbing,Hot water geyser not heating and leaking water from bottom connection. very concerning situation.,Hostel A Room 102,medium
2698,sanitation,severe rodent problem in ground floor storage room chewing cables. Needs urgent inspection.,Hostel D Cafeteria,medium
2678,sanitation,cockroach and pest infestation noticed in pantry cabinets and floor washroom,Hostel B Room 214,medium
2400,structural,Deep diagonal crack appearing along corridor wall growing over last 2 weeks. affecting multiple students.,Hostel E Water Tank Area,medium
3320,other,toxic fume release from basement laboratory drifting into student dorms. Please resolve this quickly.,Hostel B Room 214,high
1007,electrical,minor flicker in hallway lighting during evening hours,Hostel B Balcony,low
2982,security,emergency security phone box on campus pathway broken and unresponsive. Affecting multiple students.,Hostel A Room 102,medium
2184,fire_safety,"flames visible from waste disposal chute on ground floor, spreading fast. Reported this earlier today.",Main Auditorium Hall B,high
3273,other,Washing machine in laundry room vibrating violently and leaking soapy water,Hostel B Room 214,medium
2911,security,"theft reported from unattended room on floor 3, laptop and wallet stolen. Happening since last night.",Central Canteen Kitchen Area,medium
3005,security,"armed intruder or violent trespasser reported inside hostel block, lockdown needed",Main Auditorium Hall B,high
3329,other,gas cylinder valve leaking rapidly with loud hissing in cafeteria kitchen,Hostel D Terrace Access,high
2114,fire_safety,major electrical fire spreading along cable tray across residential floor,Hostel F Room 118,high
3221,other,gym equipment cable frayed and snapping during use. Noticeable smell and noise.,Hostel A Dining Hall,medium
2831,security,corridor security camera dome cover is dusty. Noticeable smell and noise.,Hostel F Room 118,low
1711,network,local area network down for all rooms on the west corridor. Please resolve this quickly.,Hostel B Corridor 3rd Floor,medium
2743,sanitation,Severe contamination of drinking water system with sewage infiltration. please resolve this quickly.,Hostel B Balcony,high
1674,network,campus intranet portal loading slowly on mobile devices. Kindly update ticket status once inspected.,Gymnasium Locker Room,low
2089,fire_safety,corridor fire alarm strobe light not activating during system test,Hostel A Floor 2 Washroom,medium
3376,other,toxic fume release from basement laboratory drifting into student dorms. Happening since last night.,Gymnasium Locker Room,high
3011,security,"hostel main entry doors breached, intruder threatening occupants. Please send someone to check as soon as possible.",Hostel A Floor 2 Washroom,high
2825,security,bicycle rack outside hostel has one loose bolt on stand. Happening since last night.,Gymnasium Locker Room,low
2703,sanitation,hazardous medical or chemical waste dumped illegally behind residential block,Main Auditorium Hall B,high
1629,network,ethernet port in room has a loose latch but connection works,Hostel B Room 214,low
2489,structural,"External facade wall collapse crushing walkway below, immediate evacuation required. kindly update ticket status once inspected.",Hostel D Terrace Access,high
1839,network,Server room network rack caught fire with melted switch cables,Hostel A Floor 2 Washroom,high
2830,security,corridor security camera dome cover is dusty. Students are worried about safety.,Hostel A Floor 2 Washroom,low
3185,other,Lost student id card found in library and placed at reception. happening since last night.,Hostel A Room 102,low
2380,structural,bathroom door frame rotten at base and detaching from wall,Gymnasium Locker Room,medium
1440,plumbing,hot water geyser not heating and leaking water from bottom connection,Hostel B Room 214,medium
1827,network,"Main fiber backbone disconnected, total campus disconnection from internet",Hostel A Ground Floor Lobby,high
1232,electrical,"Exposed live wire hanging near wet washroom entrance, serious shock hazard",Hostel E Water Tank Area,high
3196,other,bookshelf in common area needs reorganizing,Hostel D Room 412,low
1286,electrical,"exposed live wire hanging near wet washroom entrance, serious shock hazard",Hostel C Basement Study Room,high
2604,sanitation,Stagnant water pool near water purifier breeding mosquitoes,Hostel C Room 305,medium
2177,fire_safety,Emergency fire exit completely blocked while fire is spreading in staircase. reported this earlier today.,Hostel E Room 501,high
1377,plumbing,"tap slowly dripping in bathroom sink, bucket placed underneath",Hostel B Balcony,low
1917,fire_safety,hose reel cabinet door latch is stiff to open. Affecting multiple students.,Hostel C Wing West Common Area,low
1866,network,campus-wide network and core firewall crash during online placement exams,Hostel D Room 412,high
2191,fire_safety,fire sprinkler pipe ruptured but no water flowing while flames grow in lounge,Academic Block 1 Room 101,high
2601,sanitation,"kitchen waste disposal clogged, attracting stray animals near entrance. Noticeable smell and noise.",Hostel B Corridor 3rd Floor,medium
2945,security,ground floor window security grill loose and screws removed,Hostel D Cafeteria,medium
3324,other,"passenger elevator cable snapped and safety brake engaged, 4 students trapped inside in darkness",Hostel E Room 501,high
2270,structural,wooden study desk drawer sticks when opening,Hostel E Room 501,low
2045,fire_safety,corridor fire alarm strobe light not activating during system test. Reported this earlier today.,Gymnasium Locker Room,medium
2794,sanitation,"main sewage line ruptured inside hostel corridor, raw sewage flooding rooms. Needs urgent inspection.",Central Canteen Kitchen Area,high
1218,electrical,"sparks and black smoke coming from main switchboard in corridor, urgent",Hostel B Corridor 3rd Floor,high
1520,plumbing,"main supply line cracked wide open, stairs transformed into water cascade. Kindly update ticket status once inspected.",Hostel B Corridor 3rd Floor,high
3280,other,severe noise disruption from unauthorized party in room late at night. Needs urgent inspection.,Library 2nd Floor Reading Hall,medium
2691,sanitation,Waste disposal bin broken and spilling contaminated waste into corridor,Central Canteen Kitchen Area,medium
2609,sanitation,garbage pile uncollected for 4 days outside hostel block attracting flies,Hostel F Room 118,medium
1320,plumbing,"tap slowly dripping in bathroom sink, bucket placed underneath. Reported this earlier today.",Hostel C Basement Study Room,low
1615,network,printer on floor network is occasionally unreachable,Hostel A Dining Hall,low
1295,electrical,"active electrical fire in junction box near room 305, burning plastic smell and flames",Main Auditorium Hall B,high
2036,fire_safety,fire hose pipe nozzle cracked and leaking during weekly pressure test. Students are worried about safety.,Hostel E Water Tank Area,medium
2373,structural,heavy water seepage causing wall to bulge and paint to peel severely. Students are worried about safety.,Central Canteen Kitchen Area,medium
2212,structural,wooden study desk drawer sticks when opening,Hostel A Floor 2 Washroom,low
2768,sanitation,hazardous medical or chemical waste dumped illegally behind residential block. Please resolve this quickly.,Hostel E Water Tank Area,high
2649,sanitation,cockroach and pest infestation noticed in pantry cabinets and floor washroom,Central Canteen Kitchen Area,medium
